"state","placefp","county","stab","cntyname","placenm","pop10","afact"
"State code","Place code","County code","State abbreviation","County name","Place name","Population (2010)","placefp to county allocation factor"
"40","17110","40041","OK","Delaware OK","Copeland CDP, OK",1629,1 
"40","17300","40149","OK","Washita OK","Corn town, OK",503,1 
"40","17350","40067","OK","Jefferson OK","Cornish town, OK",163,1 
"40","17550","40101","OK","Muskogee OK","Council Hill town, OK",158,1 
"40","17700","40047","OK","Garfield OK","Covington town, OK",527,1 
"40","17800","40145","OK","Wagoner OK","Coweta city, OK",9943,1 
"40","17850","40079","OK","Le Flore OK","Cowlington town, OK",155,1 
"40","17950","40083","OK","Logan OK","Coyle town, OK",325,1 
"40","18250","40083","OK","Logan OK","Crescent city, OK",1411,1 
"40","18450","40133","OK","Seminole OK","Cromwell town, OK",286,1 
"40","18550","40121","OK","Pittsburg OK","Crowder town, OK",430,1 
"40","18850","40119","OK","Payne OK","Cushing city, OK",7826,1 
"40","18950","40039","OK","Custer OK","Custer City town, OK",375,1 
"40","19000","40015","OK","Caddo OK","Cyril town, OK",1059,1 
"40","19050","40151","OK","Woods OK","Dacoma town, OK",107,1 
"40","19150","40125","OK","Pottawatomie OK","Dale CDP, OK",181,1 
"40","19350","40081","OK","Lincoln OK","Davenport town, OK",814,1 
"40","19400","40141","OK","Tillman OK","Davidson town, OK",315,1 
"40","19450","40099","OK","Murray OK","Davis city, OK",2683,1 
"40","19650","40053","OK","Grant OK","Deer Creek town, OK",130,1 
"40","19665","40041","OK","Delaware OK","Deer Lick CDP, OK",46,1 
"40","19850","40105","OK","Nowata OK","Delaware town, OK",417,1 
"40","19900","40109","OK","Oklahoma OK","Del City city, OK",21332,1 
"40","20100","40041","OK","Delaware OK","Dennis CDP, OK",195,1 
"40","20300","40037","OK","Creek OK","Depew town, OK",476,1 
"40","20450","40033","OK","Cotton OK","Devol town, OK",151,1 
"40","20500","40111","OK","Okmulgee OK","Dewar town, OK",888,1 
