CBSA Code,Metropolitan/Micropolitan Statistical Area,Principal City Name,FIPS State Code,FIPS Place Code,CBSA Title,CBSA First Listed City,If
16980,Metropolitan Statistical Area,Evanston,17,24582,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,0
16980,Metropolitan Statistical Area,Hoffman Estates,17,35411,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,0
16980,Metropolitan Statistical Area,Naperville,17,51622,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,0
16980,Metropolitan Statistical Area,Schaumburg,17,68003,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,0
16980,Metropolitan Statistical Area,Skokie,17,70122,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,0
16980,Metropolitan Statistical Area,Gary,18,27000,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,0
17020,Metropolitan Statistical Area,Chico,06,13014,"Chico, CA",Chico,1
17060,Micropolitan Statistical Area,Chillicothe,39,14184,"Chillicothe, OH",Chillicothe,1
17140,Metropolitan Statistical Area,Cincinnati,39,15000,"Cincinnati, OH-KY-IN",Cincinnati,1
17220,Micropolitan Statistical Area,Clarksburg,54,15628,"Clarksburg, WV",Clarksburg,1
17260,Micropolitan Statistical Area,Clarksdale,28,13820,"Clarksdale, MS",Clarksdale,1
17300,Metropolitan Statistical Area,Clarksville,47,15160,"Clarksville, TN-KY",Clarksville,1
17340,Micropolitan Statistical Area,Clearlake,06,13945,"Clearlake, CA",Clearlake,1
17380,Micropolitan Statistical Area,Cleveland,28,14260,"Cleveland, MS",Cleveland,1
17420,Metropolitan Statistical Area,Cleveland,47,15400,"Cleveland, TN",Cleveland,1
17460,Metropolitan Statistical Area,Cleveland,39,16000,"Cleveland-Elyria, OH",Cleveland,1
17460,Metropolitan Statistical Area,Elyria,39,25256,"Cleveland-Elyria, OH",Cleveland,0
17500,Micropolitan Statistical Area,Clewiston,12,13000,"Clewiston, FL",Clewiston,1
17540,Micropolitan Statistical Area,Clinton,19,14430,"Clinton, IA",Clinton,1
17580,Micropolitan Statistical Area,Clovis,35,16420,"Clovis, NM",Clovis,1
17620,Micropolitan Statistical Area,Coamo,72,18719,"Coamo, PR",Coamo,1
17640,Micropolitan Statistical Area,Coco,72,18891,"Coco, PR",Coco,1
17660,Metropolitan Statistical Area,Coeur d'Alene,16,16750,"Coeur d'Alene, ID",Coeur d'Alene,1
17700,Micropolitan Statistical Area,Coffeyville,20,14600,"Coffeyville, KS",Coffeyville,1
17740,Micropolitan Statistical Area,Coldwater,26,17020,"Coldwater, MI",Coldwater,1
17780,Metropolitan Statistical Area,Bryan,48,10912,"College Station-Bryan, TX",College Station,0
17780,Metropolitan Statistical Area,College Station,48,15976,"College Station-Bryan, TX",College Station,1
17820,Metropolitan Statistical Area,Colorado Springs,08,16000,"Colorado Springs, CO",Colorado Springs,1
17860,Metropolitan Statistical Area,Columbia,29,15670,"Columbia, MO",Columbia,1
17900,Metropolitan Statistical Area,Columbia,45,16000,"Columbia, SC",Columbia,1
17980,Metropolitan Statistical Area,Columbus,13,19000,"Columbus, GA-AL",Columbus,1
18020,Metropolitan Statistical Area,Columbus,18,14734,"Columbus, IN",Columbus,1
18060,Micropolitan Statistical Area,Columbus,28,15380,"Columbus, MS",Columbus,1
18100,Micropolitan Statistical Area,Columbus,31,10110,"Columbus, NE",Columbus,1
18140,Metropolitan Statistical Area,Columbus,39,18000,"Columbus, OH",Columbus,1
18180,Micropolitan Statistical Area,Concord,33,14200,"Concord, NH",Concord,1
18220,Micropolitan Statistical Area,Connersville,18,14932,"Connersville, IN",Connersville,1
18260,Micropolitan Statistical Area,Cookeville,47,16920,"Cookeville, TN",Cookeville,1
18300,Micropolitan Statistical Area,Coos Bay,41,15250,"Coos Bay, OR",Coos Bay,1
18380,Micropolitan Statistical Area,Cordele,13,19616,"Cordele, GA",Cordele,1
18420,Micropolitan Statistical Area,Corinth,28,15700,"Corinth, MS",Corinth,1
18460,Micropolitan Statistical Area,Cornelia,13,19728,"Cornelia, GA",Cornelia,1
18500,Micropolitan Statistical Area,Corning,36,18256,"Corning, NY",Corning,1
18580,Metropolitan Statistical Area,Corpus Christi,48,17000,"Corpus Christi, TX",Corpus Christi,1
18620,Micropolitan Statistical Area,Corsicana,48,17060,"Corsicana, TX",Corsicana,1
18660,Micropolitan Statistical Area,Cortland,36,18388,"Cortland, NY",Cortland,1
18700,Metropolitan Statistical Area,Corvallis,41,15800,"Corvallis, OR",Corvallis,1
18740,Micropolitan Statistical Area,Coshocton,39,18868,"Coshocton, OH",Coshocton,1
18780,Micropolitan Statistical Area,Craig,08,17760,"Craig, CO",Craig,1
18820,Micropolitan Statistical Area,Crawfordsville,18,15742,"Crawfordsville, IN",Crawfordsville,1
18860,Micropolitan Statistical Area,Crescent City,06,17022,"Crescent City, CA",Crescent City,1
18880,Metropolitan Statistical Area,Crestview,12,15475,"Crestview-Fort Walton Beach-Destin, FL",Crestview,1
18880,Metropolitan Statistical Area,Destin,12,17325,"Crestview-Fort Walton Beach-Destin, FL",Crestview,0
18880,Metropolitan Statistical Area,Fort Walton Beach,12,24475,"Crestview-Fort Walton Beach-Destin, FL",Crestview,0
18900,Micropolitan Statistical Area,Crossville,47,18540,"Crossville, TN",Crossville,1
18980,Micropolitan Statistical Area,Cullman,01,18976,"Cullman, AL",Cullman,1
19000,Micropolitan Statistical Area,Cullowhee,37,15880,"Cullowhee, NC",Cullowhee,1
19060,Metropolitan Statistical Area,Cumberland,24,21325,"Cumberland, MD-WV",Cumberland,1
19100,Metropolitan Statistical Area,Arlington,48,04000,"Dallas-Fort Worth-Arlington, TX",Dallas,0
19100,Metropolitan Statistical Area,Dallas,48,19000,"Dallas-Fort Worth-Arlington, TX",Dallas,1
19100,Metropolitan Statistical Area,Denton,48,19972,"Dallas-Fort Worth-Arlington, TX",Dallas,0
19100,Metropolitan Statistical Area,Fort Worth,48,27000,"Dallas-Fort Worth-Arlington, TX",Dallas,0
19100,Metropolitan Statistical Area,Grapevine,48,30644,"Dallas-Fort Worth-Arlington, TX",Dallas,0
19100,Metropolitan Statistical Area,Irving,48,37000,"Dallas-Fort Worth-Arlington, TX",Dallas,0
19100,Metropolitan Statistical Area,Plano,48,58016,"Dallas-Fort Worth-Arlington, TX",Dallas,0
19100,Metropolitan Statistical Area,Richardson,48,61796,"Dallas-Fort Worth-Arlington, TX",Dallas,0
19140,Metropolitan Statistical Area,Dalton,13,21380,"Dalton, GA",Dalton,1
19180,Metropolitan Statistical Area,Danville,17,18563,"Danville, IL",Danville,1
19220,Micropolitan Statistical Area,Danville,21,19882,"Danville, KY",Danville,1
19260,Micropolitan Statistical Area,Danville,51,21344,"Danville, VA",Danville,1
19300,Metropolitan Statistical Area,Daphne,01,19648,"Daphne-Fairhope-Foley, AL",Daphne,1
19300,Metropolitan Statistical Area,Fairhope,01,25240,"Daphne-Fairhope-Foley, AL",Daphne,0
19300,Metropolitan Statistical Area,Foley,01,26992,"Daphne-Fairhope-Foley, AL",Daphne,0
19300,Metropolitan Statistical Area,Gulf Shores,01,32272,"Daphne-Fairhope-Foley, AL",Daphne,0
19340,Metropolitan Statistical Area,Moline,17,49867,"Davenport-Moline-Rock Island, IA-IL",Davenport,0
19340,Metropolitan Statistical Area,Rock Island,17,65078,"Davenport-Moline-Rock Island, IA-IL",Davenport,0
19340,Metropolitan Statistical Area,Davenport,19,19000,"Davenport-Moline-Rock Island, IA-IL",Davenport,1
19420,Micropolitan Statistical Area,Dayton,47,19700,"Dayton, TN",Dayton,1
19430,Metropolitan Statistical Area,Dayton,39,21000,"Dayton-Kettering, OH",Dayton,1
19430,Metropolitan Statistical Area,Kettering,39,40040,"Dayton-Kettering, OH",Dayton,0
19460,Metropolitan Statistical Area,Decatur,01,20104,"Decatur, AL",Decatur,1
19500,Metropolitan Statistical Area,Decatur,17,18823,"Decatur, IL",Decatur,1
19540,Micropolitan Statistical Area,Decatur,18,17074,"Decatur, IN",Decatur,1
19580,Micropolitan Statistical Area,Defiance,39,21308,"Defiance, OH",Defiance,1
19620,Micropolitan Statistical Area,Del Rio,48,19792,"Del Rio, TX",Del Rio,1
19660,Metropolitan Statistical Area,Daytona Beach,12,16525,"Deltona-Daytona Beach-Ormond Beach, FL",Deltona,0
19660,Metropolitan Statistical Area,DeLand,12,16875,"Deltona-Daytona Beach-Ormond Beach, FL",Deltona,0
19660,Metropolitan Statistical Area,Deltona,12,17200,"Deltona-Daytona Beach-Ormond Beach, FL",Deltona,1
19660,Metropolitan Statistical Area,Ormond Beach,12,53150,"Deltona-Daytona Beach-Ormond Beach, FL",Deltona,0
19700,Micropolitan Statistical Area,Deming,35,20270,"Deming, NM",Deming,1
19740,Metropolitan Statistical Area,Aurora,08,04000,"Denver-Aurora-Lakewood, CO",Denver,0
19740,Metropolitan Statistical Area,Broomfield,08,09280,"Denver-Aurora-Lakewood, CO",Denver,0
19740,Metropolitan Statistical Area,Centennial,08,12815,"Denver-Aurora-Lakewood, CO",Denver,0
19740,Metropolitan Statistical Area,Commerce City,08,16495,"Denver-Aurora-Lakewood, CO",Denver,0
19740,Metropolitan Statistical Area,Denver,08,20000,"Denver-Aurora-Lakewood, CO",Denver,1
19740,Metropolitan Statistical Area,Lakewood,08,43000,"Denver-Aurora-Lakewood, CO",Denver,0
