city_fips,pop_2020
4077250,1374
4077300,611
4077550,5193
4077850,7621
4077900,93
4077950,311
4078150,2412
4078200,279
4078250,95
4078300,386
4078350,53
4078400,1593
4078500,10452
4078650,164
4078700,673
4078750,83
4078950,2690
4079000,32
4079100,227
4079150,307
4079200,1349
4079250,1837
4079300,625
4079350,708
4079450,12076
4079600,58
4079650,338
4079750,622
4079800,806
4079850,781
4079900,679
4080000,131
4080230,167
4080250,448
4080350,1000
4080450,1364
4080500,1135
4080550,3133
4080675,75
4080750,520
4080800,371
4080813,1201
4080850,208
4080900,172
4080912,79
4080975,1026
4081000,2285
4081300,119
4081500,1399
4081575,546
4081750,1031
4081912,816
4082000,160
4082150,12133
4082200,616
4082250,488
4082400,1927
4082450,370
4082500,1059
4082650,45
4082950,23630
4083030,520
4083050,181
4083125,30
